page,company_name,details_text
11,Equity Group Holdings Plc,Announced a Final Dividend of Kes.4.00 on 27-Mar-2024; Books Closure 24-May-2024; Payment Date; 28-Jun-2024
12,Umeme Limited,Announced a Final Dividend of Ushs. 54.20 ; Books Closure 28-Jun-2024; Payment Date; 19-Jul-2024
12,I&M Group Plc,I&M Group Plc; announced a First & Final Dividend of Kes.2.25; Books Closure 18-Apr-2024; Payment 24-May-2024.
12,Limuru Tea PLC,Limuru Tea PLC; announced a Final Dividend of Kes.1.00; Books Closure 15-Apr-2024; Payment 30-June-2024.
12,The Co-operative Bank of Kenya Ltd,The Co-operative Bank of Kenya Ltd; announced a First & Final Dividend of Kes.1.50; Books Closure 29-Apr-2024; Payment 10-Jun-2024
12,Kakuzi Plc,Announced a First & Final Dividend of Kes.24.00; Books Closure 31-May-2024; Payment 15-Jun-2024.
12,Absa Bank Kenya Plc,Announced a Final Dividend of Kes.1.35 on 18-Mar-2024; Books Closure 30-Apr-2024; Payment Date; 23-May-2024
12,Standard Chartered Bank Kenya Limited,Announced a Final Dividend of Kes.23.00 on 12-Mar-2024; Books Closure 19-Apr-2024; Payment Date; 30-May-2024
12,Stanbic Holdings Plc,Announced a Final Dividend of Kes.14.20 on 06-Mar-2024; Books Closure 17-May-2024; Payment Date; SUBJECT TO APPROVAL.
13,Safaricom Plc,Safaricom Plc;KE1000001402; announced an Interim Dividend of Kes.0.55 on 22-Feb-2024; Books Closure 15-Mar-2024; Payment Date; 31-Mar-2024
13,B.A.T Kenya Plc,B.A.T Kenya Plc;KE0000000075; announced Final Dividend of Kes.50.00 on 15-Feb-2024; Books Closure 24-May-2024; Payment 26-Jun-2024.
13,East African Breweries Plc,Announced an Interim Dividend of Kes.1.00 on 26-Jan-2024; Books Closure 16-Feb-2024; Payment Date 26-Apr-2024
13,Sasini Plc,Announced an Final Dividend of Kes.0.50 on 08-Jan-2024; Books Closure 22-Feb-2024; Payment Date; 22-Mar-2024
13,Standard Chartered Bank Kenya,Announced an Interim Dividend of Kes.6.00 on 22-Nov-2023; Books Closure 14-Dec-2023; Payment Date;28-Dec-2023.
13,Kapchorua Tea Kenya Plc,Kapchorua Tea Kenya Plc;KE4000001760; announced an Interim Dividend of Kes.10.00 on 17-Nov-2023; Books Closure 07-Dec-2023; Payment Date;13-Dec-2023.
13,Williamson Tea Kenya Plc,Williamson Tea Kenya Plc ;KE0000000505; announced an Interim Dividend of Kes.10.00 on 17-Nov-2023; Books Closure 07-Dec-2023; Payment Date;13-Dec-2023.
13,BK Group Plc,BK Group Plc ;KE5000008986; announced an Interim Dividend of FRw.8.44 on 09-Nov-2023; Books Closure 29-Nov-2023; Payment Date;20-Dec-2023.
14,Carbacid Investments Plc,Carbacid Investments Plc ;KE0000000117; announced a final Dividend of Kes. 1.7 on 25-Oct-2023; Books Closure 24-Nov-2023; Payment Date; 15-Dec-2023
14,KenGen Plc,KenGen Plc ;KE0000000547; announced a first and final Dividend of Kes. 0.30 on 27-Oct-2023; Books Closure 30-Nov-2023; Payment Date; 15-Feb-2024
14,ABSA Bank Kenya Plc,Announced an Interim Dividend of Kes.0.20 on 29-Aug-2023; Books Closure 21-Sep-2023; Payment 12-Oct-2023
14,NCBA Group Plc,Announced an Interim Dividend of Kes.1.75 on 24-Aug-2023; Books Closure 14-Sep-2023; Payment 28-Sep-2023
14,Umeme Ltd,Announced an Interim Dividend of Ushs.24 on 21-Aug-2023; Books Closure 09-Feb-2024; Payment Date; 29-Feb-2024
14,Stanbic Holdings Plc,Announced an Interim Dividend of Kes.1.15 on 10-Aug-2023; Books Closure 04-Sep-2023; Payment 27-Sep-2023
14,East African Breweries Plc,Announced a Final Dividend of Kes.1.75 on 28-Jul-2023; Books Closure 15-Sep-2023; Payment 27-Oct-2023
14,B.A.T Kenya Plc,Announced an Interim Dividend of Kes.5.00 on 19-Jul-2023; Books Closure 18-Aug-2023; Payment 22-Sep-2023
15,Safaricom Plc,Safaricom Plc;KE1000001402; announced a Final Dividend of Kes.0.62 on 11-May-2023; Books Closure 28-July-2023; Payment Date; 31-Aug-2023
15,Williamson Tea Kenya Plc,Williamson Tea Kenya Plc; announced a Final Dividend of Kes.30.00 on 29-June-2023; Books Closure 23-August-2023.Payment 04-Sep-2023
15,Kapchorua Tea Kenya Plc,Kapchorua Tea Kenya Plc; announced a First & Final Dividend of Kes.25.00 on 29-June-2023; Books Closure 23-Aug-2023;Payment Date 4-Sep-2023
15,Sasini Plc,Announced an Interim Dividend of Kes. 1.00 on 10-May-2023;Books Closure 02-Jun-2023 Payment 03-Jul-2023.
15,BK Group Plc,BK Group Plc; announced a First & Final Dividend of Frw.32.5 on 31-Mar-2023; Books Closure 22-Jun-2023; Payment Date; 01-Jul-2023.
15,Nation Media Group Plc,Nation Media Group Plc; announced a Final Dividend of Kes.1.50 on 06-Apr-2023; Books Closure 16-Jun-2023; Payment Date; 31-July-2023.
15,Crown Paints Kenya Plc,Crown Paints Kenya Plc; announced a Final Dividend of Kes.4.00; Books Closure 28-Jun-2023; Payment 14-Aug-2023.
15,Bamburi Cement Plc,Bamburi Cement Plc; announced a First & Final Dividend of Kes.0.75; Books Closure 27-May-2023; Payment 27-Jul-2023.
16,B.O.C Kenya Plc;,B.O.C Kenya Plc; announced a Final Dividend of Kes.4.45 ; Books Closure 31-May-2023; Payment 21-July-2023
16,Nairobi Securities Exchange Plc,Nairobi Securities Exchange Plc; announced a First & Final Dividend of Kes.0.20;Books Closure 31-May-2023; Payment 31-Jul-2023
16,TotalEnergies Marketing Kenya Plc,TotalEnergies Marketing Kenya Plc; announced a First & Final Dividend of Kes.1.31; Books Closure 15-Jun-2023; Payment 31-Jul-2023.
16,Jubilee Holdings Limited,Announced a Final Dividend of Kes.8.00 on 27-Mar-2023; Books Closure 14-Jun-2023; Payment 26-July-2023.
16,Jubilee Holdings Limited,Announced a Special Dividend of Kes.3.00 on 27-Mar-2023; Books Closure 14-Jun-2023; Payment 26-July-2023
16,ILAM FAHARI I-REIT,Announced a First & Final Distribution of Kes. 0.65 on 29-Mar-2023; Books Closure 06-Apr-2023; Payment 30-April-2023.
16,I&M Group Plc,I&M Group Plc; announced a First & Final Dividend of Kes.2.25; Books Closure 20-Apr-2023; Payment 25-May-2023.
16,NCBA Group Plc,NCBA Group Plc; announced a Final Dividend of Kes.2.25; Books Closure 28-Apr-2023; Payment 31-May-2023.
17,Kenya Re Insurance Corporation Ltd,Kenya Re Insurance Corporation Ltd; announced a First & Final Dividend of Kes.0.20; Books Closure 16-Jun-2023; Payment 28-Jul-2023
17,Equity Group Holdings Plc,Equity Group Holdings Plc; announced a First & Final Dividend of Kes.4.00; Books Closure 19-May-2023; Payment 30-Jun-2023
17,Diamond Trust Bank Kenya Ltd,Diamond Trust Bank Kenya Ltd; announced a First & Final Dividend of Kes.5.00;on 28-Mar-2023; Books Closure 12-May-2023; Payment 15-June-2023.
17,Umeme Limited,Umeme Limited; UG0000001145; announced a Final Dividend of Ushs.63.9 on 27-March-2023; Books Closure 27-Jun-2023; Payment 20-July-2023.
